lesson_number,domain_id,domain,service_group,microservice_id,microservice_name,team_id,db_cluster,database_name,schema_name,table_name,full_table_name,table_class,data_classification,storage_role,target_postgres_version,connector_scope,replication_slot_strategy,proposed_cdc_enabled,effective_cdc_mode,proposed_kafka_topic,effective_kafka_topic,bronze_target,silver_target,gold_target,implementation_status,policy_reason
201,1,identity,identity-platform,svc-0001,identity-01,team-001,pg-cluster-001,identity_svc_01,identity,account_identity,identity_svc_01.identity.account_identity,transactional,internal,POSTGRESQL_OPERATIONAL,18.6,DATABASE,ONE_PER_DATABASE,Y,FULL,fk.pg.cdc.identity.account_identity,fk.pg.cdc.identity.account_identity,bronze.identity_account_identity,silver.identity_account_identity,gold.identity_account_metrics,PLANNED,Internal table approved for full CDC.
201,1,identity,identity-platform,svc-0001,identity-01,team-001,pg-cluster-003,identity_svc_01,identity,address_identity,identity_svc_01.identity.address_identity,transactional,restricted,POSTGRESQL_OPERATIONAL,18.6,DATABASE,ONE_PER_DATABASE,Y,EXCLUDED,fk.pg.cdc.identity.address_identity,,,,,PLANNED,Restricted source table; raw CDC and downstream publication are disabled.
201,1,identity,identity-platform,svc-0001,identity-01,team-001,pg-cluster-006,identity_svc_01,identity,event_identity,identity_svc_01.identity.event_identity,transactional,restricted,POSTGRESQL_OPERATIONAL,18.6,DATABASE,ONE_PER_DATABASE,Y,EXCLUDED,fk.pg.cdc.identity.event_identity,,,,,PLANNED,Restricted source table; raw CDC and downstream publication are disabled.
201,1,identity,identity-platform,svc-0001,identity-01,team-001,pg-cluster-007,identity_svc_01,identity,history_identity,identity_svc_01.identity.history_identity,event,internal,POSTGRESQL_OPERATIONAL,18.6,DATABASE,ONE_PER_DATABASE,Y,FULL,fk.pg.cdc.identity.history_identity,fk.pg.cdc.identity.history_identity,bronze.identity_history_identity,silver.identity_history_identity,gold.identity_history_metrics,PLANNED,Internal table approved for full CDC.
201,1,identity,identity-platform,svc-0001,identity-01,team-001,pg-cluster-010,identity_svc_01,identity,mapping_identity,identity_svc_01.identity.mapping_identity,history,internal,POSTGRESQL_OPERATIONAL,18.6,DATABASE,ONE_PER_DATABASE,Y,FULL,fk.pg.cdc.identity.mapping_identity,fk.pg.cdc.identity.mapping_identity,bronze.identity_mapping_identity,silver.identity_mapping_identity,gold.identity_mapping_metrics,PLANNED,Internal table approved for full CDC.
201,1,identity,identity-platform,svc-0001,identity-01,team-001,pg-cluster-004,identity_svc_01,identity,preference_identity,identity_svc_01.identity.preference_identity,transactional,internal,POSTGRESQL_OPERATIONAL,18.6,DATABASE,ONE_PER_DATABASE,Y,FULL,fk.pg.cdc.identity.preference_identity,fk.pg.cdc.identity.preference_identity,bronze.identity_preference_identity,silver.identity_preference_identity,gold.identity_preference_metrics,PLANNED,Internal table approved for full CDC.
201,1,identity,identity-platform,svc-0001,identity-01,team-001,pg-cluster-002,identity_svc_01,identity,profile_identity,identity_svc_01.identity.profile_identity,transactional,internal,POSTGRESQL_OPERATIONAL,18.6,DATABASE,ONE_PER_DATABASE,Y,FULL,fk.pg.cdc.identity.profile_identity,fk.pg.cdc.identity.profile_identity,bronze.identity_profile_identity,silver.identity_profile_identity,gold.identity_profile_metrics,PLANNED,Internal table approved for full CDC.
201,1,identity,identity-platform,svc-0001,identity-01,team-001,pg-cluster-009,identity_svc_01,identity,rule_identity,identity_svc_01.identity.rule_identity,transactional,restricted,POSTGRESQL_OPERATIONAL,18.6,DATABASE,ONE_PER_DATABASE,Y,EXCLUDED,fk.pg.cdc.identity.rule_identity,,,,,PLANNED,Restricted source table; raw CDC and downstream publication are disabled.
201,1,identity,identity-platform,svc-0001,identity-01,team-001,pg-cluster-005,identity_svc_01,identity,session_identity,identity_svc_01.identity.session_identity,reference,internal,POSTGRESQL_OPERATIONAL,18.6,DATABASE,ONE_PER_DATABASE,Y,FULL,fk.pg.cdc.identity.session_identity,fk.pg.cdc.identity.session_identity,bronze.identity_session_identity,silver.identity_session_identity,gold.identity_session_metrics,PLANNED,Internal table approved for full CDC.
201,1,identity,identity-platform,svc-0001,identity-01,team-001,pg-cluster-008,identity_svc_01,identity,status_identity,identity_svc_01.identity.status_identity,transactional,internal,POSTGRESQL_OPERATIONAL,18.6,DATABASE,ONE_PER_DATABASE,Y,FULL,fk.pg.cdc.identity.status_identity,fk.pg.cdc.identity.status_identity,bronze.identity_status_identity,silver.identity_status_identity,gold.identity_status_metrics,PLANNED,Internal table approved for full CDC.
